excerpt,target_classification
"Project Management Support Senior Assistant
[Functional Responsibilities](https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=24135#2) Under the general supervision of the Humanitarian Project Manager, the incumbent is required to carry out support missions in the field, particularly in MOPTI and in the regions and could be asked to be deployed on a short-term or permanent basis in the regions depending on operational circumstances and at the request of the project manager. The incumbent is responsible for complying with security policies, administrative instructions, plans and procedures of the United Nations and UNOPS security management system. The duties and responsibilities of the Project Management Support Senior Assistant include, but are not limited to the points mentioned below: - Work closely with the Humanitarian Project Manager and UNMAS Operations Officers; - Provide assistance to the Humanitarian Project Coordinator/Humanitarian Project Manager during the project cycle, contributing to the implementation of activities, regular monitoring of humanitarian mine action activities in the field; - Update the information table detailing all security incidents in his/her area of ​​​​assignment; - Carry out field visits, on request, to verify if the information/data is correctly reported; - Support organizational accreditation activities for partners and potential partners and operational accreditation in Risk Education and Non-Technical Investigations; - Attend quality assurance visits, participate in evaluations (rapid, baseline or impact); - Take notes and draft reports during internal meetings of the project team as well as during meetings with external partners; - Assist in the organization of events related to the Humanitarian project; - Participate in capitalization and learning activities and in the documentation of successful experiences and lessons learned; - Receive and treat IMSMA Core forms and follow up with partners in granted regions; - Prepare task request documents in consultation with the POCMA OPS QA officer and project coordinators; - Liaise with implementing partners on follow-up points under his/her authority; - Ensure the administrative follow-up of requests and travel requests with the Support section, in particular Administration and Procurement; - Perform all other duties assigned by the Humanitarian Project Coordinator/Humanitarian Project Manager. [Education/Experience/Language requirements](https://jobs.unops.org/Pages/ViewVacancy/VADetails.aspx?id=24135#3) **a. Education:** - First Level University Degree (Bachelor’s Degree or equivalent) with minimum 1 year of relevant work experience; OR - A high school diploma (Secondary or equivalent) with a minimum of five (5) years of relevant work experience is required. **b. Work Experience** - Relevant experience is defined as experience in humanitarian sector or project management assistance role. - Within relevant experience, 1 year experience in project management assistance is required. **c. Language** - Fluent in French (read, write and speak) is required - Intermediate in English (read, write and speak) is required","[""Mine Action""]"
"GYNAECOLOGIST BASED IN YEMEN (TEMPORARY CONTRACT / THIS POSITION IS EXCLUSIVE FOR WOMEN)
Médecins Sans Frontières is an international independent medical-humanitarian organization, which offers assistance to populations in distress, to victims of natural or man-made disasters and to victims of armed conflict, without discrimination and irrespective of race, religion, creed or political affiliation (MSF Charter). The MSF movement is built around five operational directorates supported by 21 sections, 24 associations and offices worldwide. MSF OCBA is one of those directorates. The operations are implemented by field teams and the mission coordination teams; together with the organizational units based in Barcelona, Athens and decentralised in Nairobi, Dakar and Amman. The field operations are guided and supported by 5 Operational Cells, the Emergency Unit and other departments supporting operations. **GENERAL CONTEXT** Gynaecologists are increasingly in demand on MSF projects. To work for us as a Gynaecologist, you need be prepared to work with limited resources, in isolated contexts and with other staff who sometimes have received very little training. Usually, MSF Gynaecologists work in close coordination with other members of the team, both with international mobile staff as well as national colleagues (nurses, midwives, lab technicians, etc.). Among other things, MSF Gynaecologists’ responsibilities include attending to planned and emergency **obstetric surgery**, complicated births, and doing post-operative **follow-up** together with the anesthetists. **Clinical skills** and **problem-solving capacity** are vital for coping with the shortcomings in infrastructures. A major component of our Gynaecologist’s work is the **supervision and training** of national staff. **Minimum requirements:** - **Degree** in medicine and **completed residency** in gynecology and obstetrics. - Medical registration. - At least **two years**’ work experience, including experience in surgery. - Ability to work with **limited resources**, in **difficult conditions** (high insecurity context) and **under pressure**. - Good level of **English** (minimum B2) - Minimum availability of **three months**, although preferably for longer. - Basic **IT** skills. **Desired requirements:** - Field experience with other **NGOs**. - Knowledge of **French, Arabic**, **Spanish** and/or **Portuguese**. - Experience in **supervising**, **managing** and **training** of staff. **What we offer:** - **Preparatory course** before leaving to the field. - **Legal contract** for the duration of the mission - The gross **basic salary** is approximately €1,300 per month during the first 12 months of missions (except for candidates already having 24 months of international experience with other NGOs). The salary is regularly reviewed according to the length of time in the organization and the experience acquired. - The chance to **develop professionally** in an international organization. A profile manager from the HR department will monitor your professional development (career path, training, etc.) within the organization. - The opportunity to contribute to our objective of **saving lives**, alleviating suffering and helping those most in need.","[""Gender"",""Health""]"
"Head of Mission Support and Innovation Unit
Position Title : **Head of Mission Support and Innovation Unit** Duty Station : **Nairobi, Kenya** Classification : **Professional Staff, Grade UG** Type of Appointment : **Special short-term ungraded, six months with possibility of extension** Estimated Start Date : **As soon as possible** Closing Date : **30 June 2022** *Established in 1951, IOM is a Related Organization of the United Nations, and as the leading UN agency in the field of migration, works closely with governmental, intergovernmental and* *non-governmental partners. IOM is dedicated to promoting humane and orderly migration for the benefit of all. It does so by providing services and advice to governments and migrants.* Internal and external candidates will be considered for this vacancy. For the purposes of this vacancy, internal candidates are defined as staff members holding a regular, fixed-term or short-term graded or ungraded contract, including Junior Professional Officers (JPOs), staff on Special Leave Without Pay (SLWOP), and staff members on secondment/loan released by the Organization, unless otherwise specified in their contract. Staff members holding a regular, fixed-term or short-term graded contract will not retain their contract type if appointed to an ungraded position. ***Context:*** Under the overall supervision of the Head of Kenya Country Office (CO) and direct supervision of Head of Programme and Policy Development and in coordination with the Programme Managers, Heads of Sub-Offices, IOM East and Horn of Africa Regional Office (RO) and IOM’s Headquarters (HQs), the Head of Mission Support and Innovation Unit will be responsible for the development of new projects and ensuring reporting requirements are met. They will contribute to the design of new programmes, and substantively support the mission’s strategic planning and relationships with donors and the Government of Kenya (GoK), particularly in relation to the operational aspects of programmes/projects and fundraising for new activities. ***Core Functions / Responsibilities:*** 1\. Manage and supervise the staff of the Mission Support and Innovation Unit, ensuring their effective performance of development, implementation, evaluation, and reporting tasks for CO programmes/projects. 2\. Assess potential project and funding opportunities, prepare project proposals and concept notes in the areas of interest to the IOM Kenya CO, and evaluate and improve project reports, fact sheets and other documents in coordination with relevant Programme/Project managers and program units. 3\. Support the coordination and evaluation of programme and project activities of Kenya CO to ensure timely and effective implementation and quality reporting and advise the Head of Programme and Policy Development of the corrective measures that may be needed. 4\. Support liaison with donors, project partners, other IOM missions, RO, and HQs to facilitate coordinated project implementation and synergies and to make recommendations on donor/partner engagement. 5\. Provide advice for the mainstreaming of relevant African Union, East African Community, Intergovernmental Authority on Development and Common Market for Eastern and Southern Africa policies and frameworks into national level programming and design. 6\. Keep abreast of and analyse migration issues, policies, and emerging trends, identify priorities and recommend actions to the Head of Programme and Policy Development in relation to risks and opportunities for IOM. 7\. Identify priorities, challenges, and issues to be addressed within the country office as appropriate and propose corrective actions. 8\. Provide support and guidance to Programme/Project Managers and other project staff on programme/project implementation, monitoring and evaluation, and quality assurance. 9\. Participate in relevant UN and inter-agency meetings and mechanisms","[""Camp Coordination and Camp Management"",""Coordination""]"
"Ukrainian/Russian Interpreter
ELIL is a charity registered in Germany and Greece. It was founded by the Council of Bars and Law Societies of Europe (CCBE) and the German Bar Association (DAV) in 2016. These organisations represent the bars and law societies of 45 European member, associate and observer countries, and through them more than 1 million European lawyers. ELIL is now also supported by the Conseil national des barreaux (CNB). ELIL was inspired by belief in the fundamental importance of upholding the rule of law, protecting human rights and ensuring meaningful access to legal assistance. Our teams of lawyers have been providing free, independent legal assistance to asylum seekers in Greece since 2016 (Lesvos, Samos, Athens and Thessaloniki). ELIL is now setting up a new project in Poland to provide free legal assistance and information to refugees arriving from Ukraine. Our team(s) of volunteer pro bono Polish lawyers will work at various locations across Warsaw, answering legal queries, providing legal information, triaging cases and making referrals to legal/protection actors accordingly. **We are looking to recruit a full-time committed and experienced Ukrainian/Russian Interpreter to join our new team.** The start date for this role is 4 July 2022. We offer a competitive salary, details of which are available on request. The role reports to the Project Coordinator. **Role responsibilities** - Providing in person interpretation from Ukrainian/Russian to English and vice versa in one-on-one legal consultations and group information sessions - Assisting with outreach to the Ukrainian/Russian speaking refugee communities **Skills and experience required** - Fluency in spoken Ukrainian/Russian and English - At least 1 year’s experience of working as an interpreter, preferably for an international organisation or INGO/NGO - Eligible to work in Poland - Good interpersonal and communication skills - Ability to adapt to a changing humanitarian/emergency-response environment - Excellent interpersonal and teamwork skills and experience of establishing good working relationships with a variety of people of different nationalities - Ability to work in a fast-paced, multicultural environment and to cope with competing demands - Good time-management skills and resourcefulness - Capable of being proactive and working independently - Passionate about supporting the rights of refugees, migrants and displaced people - Culturally sensitive - High professional ethics and integrity","[""Protection and Human Rights""]"
"Legal Coordinator
ELIL is a charity registered in Germany and Greece. It was founded by the Council of Bars and Law Societies of Europe (CCBE) and the German Bar Association (DAV) in 2016. These organisations represent the bars and law societies of 45 European member, associate and observer countries, and through them more than 1 million European lawyers. ELIL is now also supported by the Conseil national des barreaux (CNB). ELIL was inspired by belief in the fundamental importance of upholding the rule of law, protecting human rights and ensuring meaningful access to legal assistance. Our teams of lawyers have been providing free, independent legal assistance to asylum seekers in Greece since 2016 (Lesvos, Samos, Athens and Thessaloniki). ELIL is now setting up a new project in Poland to provide free legal assistance and information to refugees arriving from Ukraine. Our team(s) of volunteer pro bono Polish lawyers will work at various locations across Warsaw, answering legal queries, providing legal information, triaging cases and making referrals to legal/protection actors accordingly. **We are looking to recruit a full-time committed and experienced Legal Coordinator to join our new team.** The start date for this role is 4 July 2022. We offer a competitive salary, details of which are available on request. The role reports to the Project Manager. **Role responsibilities** - Coordinating team(s) of volunteer Polish lawyers operating at various locations in Warsaw - Providing training, guidance and advice to the Polish lawyers - Managing, overseeing and reporting on all aspects of the organisation’s legal work and cases - Managing referrals made to other legal/protection actors - Preparing guides, handbooks and training materials related to the applicable legal issues - Inputting into the organisation’s strategy - Identifying legal issues for the purposes of advocacy and providing expert legal input accordingly - Representing the organisation in legal aid/protection coordination meetings, as required, at both national and local levels - Developing and maintaining good relations with relevant stakeholders and other organisations **Skills and experience required** - Legal background and knowledge of the Polish legal framework - Excellent verbal and written English and Polish skills - Excellent drafting, analytical and communication skills - At least two years’ relevant experience, preferably with experience of working for an international organisation or INGO/NGO - Experience of providing face-to-face support in a humanitarian/emergency context - Experience of working with a team of legal professionals - Undergraduate or graduate degree in a relevant field (e.g. international law, human rights, refugee law, international relations) - Eligible to work in Poland - Ability to adapt to a changing legal, humanitarian/emergency-response environment - Ability to work in a fast-paced, multicultural environment and to cope with competing demands under tight deadlines - Excellent interpersonal and teamwork skills and experience of establishing good working relationships with a variety of people of different nationalities - Capable of being proactive and working independently - Passionate about supporting the rights of refugees, migrants and displaced people - Culturally sensitive - High professional ethics","[""Protection and Human Rights""]"
"TOUT PAYS – COORDINATEUR.TRICE TERRAIN URGENCE (H/F) EMERGENCY RESPONSE TEAM – SIEGE
**Date de prise de fonction :** ASAP **Durée de la mission** **:** CDD- 18 mois **Localisation** **:** Tout pays – Poste rattaché au siège de SI ## QUE FAISONS NOUS ... **SOLIDARITES INTERNATIONAL (SI)** est une association d’aide humanitaire internationale qui, depuis près de 40 ans, porte secours aux populations victimes de conflits armés et de catastrophes naturelles en répondant aux besoins vitaux, boire, manger, s’abriter. Particulièrement engagée dans le combat contre les maladies liées à l’eau insalubre, première cause de mortalité au monde, SI met en œuvre par ses interventions une expertise dans le domaine de l’accès à l’eau potable, l’assainissement et la promotion de l’hygiène mais également dans celui, essentiel, de la sécurité alimentaire et moyen d’existence. Présentes dans une vingtaine de pays environ, les équipes de SI – 2000 personnes au total composées d’expatriés, de salariés nationaux, de permanents au siège, de bénévoles…- interviennent avec professionnalisme et engagement dans le respect des cultures. ## DESCRIPTIF DU POSTE Le Desk Urgence a vocation à soutenir la capacité de réponse de SI aux contextes de crises aigues, à travers 3 grandes modalités : - La réponse directe en cas de catastrophe naturelle ou de crise soudaine de haute intensité - La veille et l’ouverture de missions sur des crises aigues - Le support aux missions existantes de SI pour anticiper et réagir aux crises soudaines dans leur zone d’intervention Pour faire face à ce besoin conséquent, constant et rotatif, le Desk Urgence de SI a mis en place différents mécanismes de mobilisation, dont l’Equipe de Réponse d’Urgence -Emergency Response Team (ERT). L’ERT est une équipe d’experts siège, déployés sur les terrains d’urgence et d’ouverture à hauteur de 60/70% de leur temps de travail, et impliqués sur des dossiers d’amélioration de la réponse d’urgence SI à hauteur de 30/40%. Directement rattachée au responsable de Desk urgence, l’ERT est la prolongation directe de la stratégie d’intervention d’urgence de SI sur le terrain. L’ERT est aujourd’hui composée de 5 collaborateurs (Directeur.trice Pays, coordinateur.trice EHA, coordinateur.trice logistique, coordinateur.trice administratif, coordinateur.trice terrain). A travers 4 piliers essentiels du poste : Pertinence et qualité opérationnelle, Coordination et orientation stratégique, Gestion des ressources, Gestion des ressources humaines, Sécurité et recherche de financements, Le/La Coordinateur.trice Terrain (liste non exhaustive) : - Représente par délégation le/la directeur.pays sur une région d’un pays dans lequel intervient Solidarités International. - Propose en fonction du contexte géopolitique et humanitaire la stratégie régionale et s'assure de sa mise en œuvre une fois validée. - Contrôle et garantit que les projets se déroulent en adéquation avec la charte de Solidarités International et dans le respect des procédures internes et contractuelles. - Mobilise les moyens matériels et financiers nécessaires à la bonne conduite des programmes et en supervise la gestion. - Coordonne les équipes en place et est le garant de leur sécurité sur sa zone d’affectation. - Est l’interlocuteur direct et privilégié du DP. ## VOTRE PROFIL **Compétences/expériences spécifiques requises :** - **Formation** : Toute formation généraliste avec une forte sensibilité à l'analyse du contexte est la bienvenue. - **Expérience(s) :** Au moins deux ans d'expérience en tant que manager dans des environnements humanitaires, notamment en tant que coordinateur.trice Terrain - Une expérience significative de la gestion, notamment du personnel international, est nécessaire. - Expérience dans le renforcement des capacités des équipes ; - Compétences en analyse humanitaire et en représentation externe - Expérience de la gestion de la sécurité dans un environnement complexe - Maîtrise du pack office. -","[""Shelter and Non-Food Items"",""Water Sanitation Hygiene""]"
"Référent·e Approvisionnement Back Office H/F
**Contexte** Au sein du service Approvisionnement du Département Achat & Appro et sous la responsabilité du Responsable du Service Approvisionnement, vous participez à l’élaboration des politiques en apportant la connaissance de la spécialité, développez les moyens nécessaires à la réalisation de plans d’actions et donnez des conseils dans leur mise en œuvre. Dans l’organisation actuelle du service, il s’agit d’un poste de support opérationnel « Back Office », en charge des Standard Lead Time et des chronogrammes de commande, du suivi des formations Approvisionnement, d’un support spécifique aux premières missions « approvisionnement » et de l’écriture et mise à jour des procédures. **Formation/Expérience :** Expérience significative en logistique ou approvisionnement (+4 ans) dans les domaines de spécialité suivants : prévisions, gestion des stocks, gestion des commandes, transport. **Langues :** Français et Anglais courants – niveau B2/C1 **Compétences et aptitudes :** - Maîtrise des connaissances techniques de sa spécialité - Maîtrise de la gestion de projet et des logiciels de gestion approvisionnement (UniField, Isystock) - Aptitude à coopérer - Rigueur - Qualités d’analyse et de synthèse - Bon relationnel - Savoir travailler en équipe **Statut :** CDD de 5 mois à temps plein. Poste cadre, basé à Paris, métro Jaurès. \*\*Conditions :\*\*47.2K€ brut annuel sur 13 mois. 22 jours de RTT par an. Complémentaire santé prise en charge à 100% par Médecins Sans Frontières. Titres restaurants d’une valeur faciale de 9€ (prise en charge à 60% par Médecins Sans Frontières). Prise en charge à 50% du titre de transports en commun. **Poste à pourvoir** : Dès que possible.","[""Health""]"
"Strategic Education Advisor Early Childhood and Primary Education
*Hello! We’re excited to see you found your way to this job opening. That must mean you share our ambition to ensure learners around the world enjoy their fundamental human right to quality education, without exception. We’re looking forward to hearing from you.* *But first things first. Allow us to introduce ourselves, drawing on the great mystery behind our name. Since our establishment in 1982, ‘VVOB’ has evolved from a complex (Dutch) acronym to a stand-alone concept meaning **education for development**:* *VVOB stands for ‘**commitment**’ – to achieve the Sustainable Development Goals by 2030.* *VVOB stands for ‘**integrity**’ and ‘**mutual respect’** – in working with our partner organisations across 10 countries / three continents.* *VVOB stands for ‘**quality**’ and ‘**innovation**’ – of everything we do in our effort to improve education worldwide.* *Do you still feel like you are in the right place? Great, because we are hiring a [***Strategic* *Education Advisor for our programmes in early childhood and primary education.***](https://www.vvob.org/sites/belgium/files/2022-06-17-sea_south_africa.pdf)* **Purpose of the function** You are responsible for providing strategic and technical advice and support for the successful implementation of the VVOB programmes in early childhood and primary education, **with a special focus, interest and experience in online and blended professional development for educators**. You contribute to achieving VVOB’s ambition and values by developing and supporting the implementation and evaluation of capacity development trajectories for professionals in the education sector, with a special focus on strengthening professional development systems for educators. You play a leading role in our internal and external knowledge development and learning, by: - initiating and coordinating internal capacity development by assessing the learning needs of the team and providing training and coaching to colleagues - supporting the development and implementation of our research agenda - cooperating actively in the search for new sources of donorship for VVOB and in the preparation of project proposals You build and maintain effective relationships with all people involved in the interventions, from senior government officials to CSO partners to VVOB team members and must help all partners to adapt the intervention as implementation lessons are learnt, while keeping an eye on the results to be achieved. You report to the Country Programmes Manager. ***What will you do?*** - You provide strategic advice, information, and guidance to VVOB and VVOB’s government and CSO partners in line with policy trends, new developments and the latest research and thinking in education and international development, including online and blended learning; and learning through play pedagogies for ECE and primary education. - You take up a variety of roles in the capacity development process according to the needs, particular situations, and phases of the programme. - You initiate and follow up on development of online training and related e-learning materials. - You create and manage partnerships and strong networks with relevant partners, institutions and organisations and are actively engaged in expanding VVOB’s funding base (liaising with potential donors, design/ develop relevant and scalable projects) - You contribute to internal and external knowledge development and learning, by systemising lessons learned and sharing pro-actively lessons learned between partners, colleagues and other VVOB country teams. - You advise VVOB team as well as partners in terms of instructional design of online learning materials such as self-study courses and micro-learning modules. **If you’re our Strategic Education Advisor, your workweek at the office will include the following highlights:** - You conceptualise capacity","[""Education""]"
"Country Director, Ethiopia
**Country Director, Ethiopia** **Division** BBC Media Action **Reports to (title)** Regional Director, Africa and Middle East **Location base** Addis Ababa, Ethiopia **Organisation structure** The BBC Media Action office in Ethiopia is looking for a Country Director to provide dynamic, inspirational leadership and management to a diverse team delivering a range of exciting development projects. The role will directly line-manage the Senior Project Manager, Producer Director, Research Manager, Finance Manager and HR Manager. The role requires a high degree of personal resilience and a flexible approach to managing an office in a challenging, multi-cultural context. The Ethiopia office has a talented team of staff, and is a supportive and inspiring environment in which to work. **Additional job specific responsibilities and accountabilities** **Context** BBC Media Action is the BBC’s international development charity, working in Ethiopia since 2001 as a registered charity with a registration number 1118, which uses media and communications to help reduce poverty, address development goals, and support people to understand their rights. We do this through partnering with media, civil society and others to produce creative programmes and other outputs which inform and engage audiences on key development issues. We also strengthen the media sector through building professional capacity and infrastructure of local media organisations in the countries in which we work. BBC Media Action delivers a portfolio of projects in Ethiopia. We seek to expand this portfolio of work, but also to ensure that existing projects are delivered on time, on budget, to the highest standards and in accordance with BBC editorial values as well as BBC Media Action methodologies. **Overall Purpose of Job** This exciting and influential role will be responsible for the overall running of BBC Media Action’s office in Ethiopia. The Country Director will take overall responsibility for ensuring strong management and high-quality delivery of a range of development projects which use the power of media to tackle issues of governance, health, migration, youth unemployment and resilience. The post holder will ensure effective office management so that finance and administrative functions are carried out in line with donor rules, local regulatory requirements and BBC Media Action guidelines. The Country Director will lead the expansion of our portfolio in Ethiopia, including identifying future business development opportunities and overseeing the writing new project proposals. The Country Director will represent BBC Media Action to the Ethiopian government, donors, media partners and other key stakeholders. BBC Media Action works to ensure that everyone we work with remains safe during their time with us. The Country Director is responsible for ensuring that safeguarding is factored into project design and budgeting, staff and freelancers receive relevant safeguarding training, and relevant safeguarding due diligence is conducted with any local partner organisations that may be working with vulnerable adults or children as part of our projects. **Main Duties** - Provide dynamic, inspirational leadership and management, and lead senior management team to ensure BBC Media Action meets our commitments to funders, partners and audiences in Ethiopia. - Manage and develop a diverse team, ensuring that staff are appropriately inducted, trained and developed, and performance is appropriately managed. - Through effective line-management of the Senior Project Manager and other team leads, take final responsibility for ensuring all activities are delivered within agreed standards, timescales and budgets, and all outputs adhere to BBC editorial standards. - Ensure effective office management so that finance and administrative functions are carried out in line","[""Climate Change and Environment"",""Gender"",""Health""]"
"Government Relations, Safety & Security Intern
**The Opportunity** We are looking for an intern for the External Relations team of Save the Children Turkey CO, to provide varied and complex assistance to the Country Management team. Intern will be assigned to the External Relations team handling the Government relations, Safety &amp; Security affairs of Save the Children in Turkey which is responsible from the strategic analysis of the contextual developments, global affairs, conflict analysis and S&amp;S Reporting. Intern will be responsible for the tasks assigned by the reporting lines based on each departments` responsibilities mainly for filing, documentation and they will be also assigned for operational tasks. The intern will be exposed to routine and emergency procedures to develop herself/himself into a valid position holder. **In order to be successful you will bring/have:** - Bachelor / MA degree in International Relations, Political Science, Social Sciences, Administrative Sciences, Economics, Business or related departments; - Excellent / Professional verbal and written communication skills in English and Turkish - Ability to draft professional and ready to consume texts, articles, documents - Good attention to details and to be able to work under stress; - Strong Computer literacy (including working knowledge of Microsoft Office) - Strong Quantitative and Qualitative Research capability - Strong organisational skills and discretion with confidential information - Ability to work independently and proactively - Proven ability to handle challenging work load - Excellent interpersonal skills - Preferably previous international working experience (including paid internships and volunteering) in NGOs, private sector or UN organizations - Preferably demonstrable experience in writing, text analysis and process monitoring **Position holder will be based in Istanbul, therefore legal right to work in Turkey is necessary at the time of application. Applications are accepted and evaluated on a rolling basis.** **What we offer for our interns:** - Multicultural and flexible working environment; - Development and training opportunities in their area; - Out of the box internship experience to prepare them real working environment in their field. - Improved knowledge on I/NGO sector and institutional donors - Salary commensurate with the pay-grade of the position. **The Organisation** We employ approximately 25,000 people across the globe and work on the ground in over 100 countries to help children affected by crises, or those that need better healthcare, education and child protection. We also campaign and advocate at the highest levels to realise the right of children and to ensure their voices are heard. We are working towards three breakthroughs in how the world treats children by 2030: - No child dies from preventable causes before their 5th birthday - All children learn from a quality basic education and that, - Violence against children is no longer tolerated We know that great people make a great organization, and that our employees play a crucial role in helping us achieve our ambitions for children. We value our people and offer a meaningful and rewarding career, along with a collaborative and inclusive environment where ambition, creativity, and integrity are highly valued. Save the Children is committed to create a truly inclusive, effective and representative organisational culture, encouraging equity and diversity among its employees and eliminating discrimination. Having a diverse profile of employees, different age groups, backgrounds, cultures, gender identities and expressions, sexual orientation etc., including a range of different experiences and capabilities helps us understand, represent and serve children better. Therefore all qualified applicants will receive equal consideration for employment without regard to race, religion, gender,","[""Safety and Security""]"
"Project Manager Burkina Faso
**Position:** Project Manager Burkina Faso **Reporting Relationship**: Country Representative **Location:** Ouagadougou, with fields visits in the areas of intervention of the NGO in Burkina Faso (depending on security conditions) **Deadline:** 1 July 2022 **Starting date:** ASAP **Type of contract:** a first 3 (three) months collaboration contract subject to evaluation; a second collaboration contract of 9 (nine) months renewable, following the positive evaluation of the first three months of contract **Gross Salary:** to be defined according to the candidate’s profile and WeWorld-GVC salary scale **General Description** WeWorld-GVC is an Italian secular and independent organization, resulted from a merger of two NGOs, working since 1971 in international cooperation and humanitarian aid. Present in 29 countries with 128 projects, WeWorld-GVC operates in the following areas of assistance: human rights (gender equality, prevention and combating violence against children and women, migration), humanitarian aid (prevention, emergency relief and rehabilitation), food security, access to water, health and hygiene, education, global citizenship education, quality teaching and international volunteering. WeWorld-GVC works mostly with children, women and youth, and all actors of change in every community for a fairer and more inclusive world. It supports people overcoming emergencies and guarantees a life with dignity, opportunities and a better future through human and socio-economic development programs, in the framework of the 2030 Agenda and SGDs. Joining the WeWorld-GVC team means being part of the development of a dynamic organisation where the contribution of each staff member is promoted and valued, working together towards the collective achievement of shared goals and vision. Currently WeWorld-GVC is funded by EU (DG ECHO), UNICEF, OCHA, WFP, Italy (AICS), Belgium (DGD), and several EU member states. **Working context** WeWorld-GVC began its activities in Burkina Faso in 1985. Following a break, it resumed its activities in 2012 focusing on the promotion of women empowerment and support to vulnerable groups to provide emergency relief to the most vulnerable, support displaced populations and to strengthen the resilience of local populations. The sectors of intervention spans from food security and nutrition to protection and local development. WeWorld-GVC currently works in the provinces of Passoré, Oudalan and Soum with offices in Yako, Gorom Gorom, Djibo and Ouagadogou. **Purpose of the Role** The **Project Manager** will be in charge of the general managementof a Child Protection intervention that will be implemented in Djibo and Gorom Gorom. He/she will ensure the quality of the implementation in all its phases: planning, activities follow-up, monitoring and reporting, in coordination with the field teams and local partner and in collaboration with the admin departments. The Project Manager will be under the direct line management of the Country Representative. In coordination with him, he/she will represent the NGO in the relevant meetings related with the projects under his/her management. **MAIN FUNCTIONS AND DUTIES** **Project Management (60 %)** - Leading, monitoring and supporting the planning of project’s activities, ensuring effective delivery in line with donor requirements and WeWorld-GVC’s mission - Coordinating with Regional IPDA Coordinator and experts at HQ level for the implementation of Child Protection and integrated protection activities in the area of intervention - Preparing project planning, worksheets and activities follow-up mechanisms (general/specific activity plan, procurement plan, M&E plan, etc.) - Supervising the field staff to comply with planning documents and putting corrective mechanisms in place if necessary - Preparing internal and external reports to ensure effective and","[""Food and Nutrition"",""Gender"",""Protection and Human Rights""]"
"Programme Officer Health
**. Health programme component implementation, planning, management, and coordination:** 1. Assist the Health Coordinator in designing and supporting the implementation of capacity strengthening activities for PRCS health staff to ensure health components are carried out following the agreed framework, tools, and guidelines, and are in line with the PRCS long-term health goals. 2. Assist Health Coordinator in preparation, reviewing, and revising proposals and budgets with health systems strengthening approach keeping a focus on the development of NS capacities for primary and community health services. 3. Conduct joint, periodic technical monitoring and reviews with PRCS of health components to identify and capture good practices, as well as identify and address operational challenges, capacity needs and gaps. 4. Assist the IFRC Country Delegation and the PRCS teams in the planning, implementation, monitoring, and reporting of the COVID-19-related programmes and activities. 5. Assesses technical needs of health programmes in collaboration with PRCS field staff to identify gaps and areas, requiring further assistance/intervention. 6. Participates and organize field monitoring, supervision and evaluation missions, whenever required. 7. Support the overall coordination and reporting of health programme activities in coordination with the health department of PRCS-NHQ. 8. Assists Health Coordinator in quality implementation of WASH programmes, while contributing to contingency planning for possible WASH emergency response, if required. **b. Immunisation and Social Mobilisation:** 1. As part of the health team ensures the NS has the capacity to conduct social mobilisation and demand creation for routine immunisation and supplemental immunisation campaigns in complex settings 2. Support CSO platforms to address the equity gap in immunisation in Pakistan. 3. Support PRCS capacity to provide immunisation services in complex settings or in emergency situations, where the national programme is unable to deliver. 4. Analyzes immunization activities through monthly reporting and monitoring of data for identifying low/poor coverage areas and suggest possible solutions. 5. Prepares technical and programme briefings/presentations as required and contributes to quarterly, bi-annually, and annual reports on the IFRC-supported health programmes. 6. Provide public health skills to follow up on the quality of health programme implementations. **c. Contribute to Delivering quality in operations**: 1. As part of the health team and as per the guidance of the Health Coordinator, ensures that tools, guidelines, and projects in the team are based on evidence, and applicable international standards and follow a resilience-based health approach. 2. Ensure that operational questions and challenges are addressed. 3. Ensure that behavioural change components and training are following good standards and are aligned to department-wide approaches. 4. Coordinates for operational updates/quality improvement within IFRC delegation with other departments (i.e Finance, Partnerships, HR, Admin, and PMER). 5. In consultation with the Health Coordinator, provide technical support to PRCS Health team for project implementation (mainly quality and financial management). 6. Identifies health priority areas and provides expert inputs in executing health programme/project, DREF, and Emergency Appeals for PRCS Health programmes. **d. Communications:** 1. Helps in the development and implementation of communications strategy for front-line healthcare workers related to immunisation interventions. 2. Engage with the PRCS provincial staff to highlight and advocate project objectives through regular communication, focus group discussions, case studies, special reports, and news items. 3. Along with the field staff, involve representatives from different stakeholder","[""Health"",""Water Sanitation Hygiene""]"
